epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.935374,3.01798,3.73136,4.36631,0.00907,1,0.01914,0.00923,2.84286,2.99364,4.15449,8.335e-05,8.335e-05,8.335e-05
2,1.37189,3.23334,3.77615,4.3901,0.00921,1,0.02024,0.01179,2.84204,2.99344,4.15284,0.000181555,0.000181555,0.000181555
3,1.80751,3.08739,3.6269,4.30877,0.00921,1,0.02452,0.01607,2.83718,2.98696,4.14928,0.000277779,0.000277779,0.000277779
4,2.25544,2.90535,3.59874,4.26481,0.00936,1,0.02115,0.01086,2.82933,2.97979,4.14268,0.000372023,0.000372023,0.000372023
5,2.67471,3.09723,3.57212,4.24539,0.00977,1,0.05686,0.02528,2.82571,2.98208,4.13977,0.000464286,0.000464286,0.000464286
6,3.11562,3.11005,3.58971,4.22221,0.00879,1,0.03206,0.00975,2.82056,2.99376,4.13716,0.000554569,0.000554569,0.000554569
7,3.53705,3.23162,3.825,4.20682,0.00893,1,0.02535,0.00767,2.81531,2.93928,4.13878,0.000642872,0.000642872,0.000642872
8,3.94559,3.14521,3.43035,4.19351,0.00893,1,0.02535,0.00767,2.81531,2.93928,4.13878,0.000729194,0.000729194,0.000729194
9,4.36981,3.22764,3.56028,4.14369,0.00907,1,0.03754,0.01144,2.82412,2.96569,4.15144,0.000813536,0.000813536,0.000813536
10,4.79245,3.17406,3.6189,4.18157,0.00907,1,0.04424,0.01191,2.8397,2.89046,4.17428,0.000895897,0.000895897,0.000895897
11,5.20363,2.94712,3.24951,4.09013,0.00907,1,0.04424,0.01191,2.8397,2.89046,4.17428,0.000976279,0.000976279,0.000976279
12,5.62936,3.14413,3.51622,4.12685,0.00921,1,0.04279,0.0144,2.83677,2.88416,4.20053,0.00105468,0.00105468,0.00105468
13,6.0475,3.03124,3.117,4.0701,0.00921,1,0.04279,0.0144,2.83677,2.88416,4.20053,0.0011311,0.0011311,0.0011311
14,6.46927,2.83394,3.35681,4.04455,0.00921,1,0.04279,0.0144,2.83677,2.88416,4.20053,0.00120554,0.00120554,0.00120554
15,6.88157,3.19809,3.46665,4.09218,0.00903,1,0.11531,0.02478,2.75691,2.87975,4.17976,0.001278,0.001278,0.001278
16,7.30788,2.98856,3.41738,4.01033,0.00903,1,0.11531,0.02478,2.75691,2.87975,4.17976,0.00134848,0.00134848,0.00134848
17,7.74269,3.00086,3.44393,4.03394,0.00498,1,0.23105,0.07977,2.50097,3.24579,4.09577,0.00140295,0.00140295,0.00140295
18,8.17016,3.0997,3.38542,3.95721,0.00498,1,0.23105,0.07977,2.50097,3.24579,4.09577,0.00138644,0.00138644,0.00138644
19,8.59633,2.86071,3.57467,4.03655,0.00498,1,0.23105,0.07977,2.50097,3.24579,4.09577,0.00136994,0.00136994,0.00136994
20,9.04136,3.03262,3.25134,3.92691,0.00416,1,0.19694,0.07182,2.75863,2.8519,4.16583,0.00135344,0.00135344,0.00135344
21,9.4525,2.79628,3.11683,3.85391,0.00416,1,0.19694,0.07182,2.75863,2.8519,4.16583,0.00133693,0.00133693,0.00133693
22,9.85725,3.10949,3.258,3.96017,0.00416,1,0.19694,0.07182,2.75863,2.8519,4.16583,0.00132043,0.00132043,0.00132043
23,10.2774,2.96571,3.24026,3.88497,0.52734,0.5,0.2243,0.05891,2.78517,2.52816,3.93817,0.00130393,0.00130393,0.00130393
24,10.6879,3.00797,3.09936,3.86074,0.52734,0.5,0.2243,0.05891,2.78517,2.52816,3.93817,0.00128742,0.00128742,0.00128742
25,11.1138,2.87054,3.19991,3.75809,0.57148,0.42857,0.26662,0.07441,2.68213,3.43967,3.65509,0.00127092,0.00127092,0.00127092
26,11.5242,2.85315,3.0952,3.8071,0.57148,0.42857,0.26662,0.07441,2.68213,3.43967,3.65509,0.00125442,0.00125442,0.00125442
27,11.9392,2.908,3.12613,3.74812,0.57148,0.42857,0.26662,0.07441,2.68213,3.43967,3.65509,0.00123791,0.00123791,0.00123791
28,12.358,2.83939,3.05507,3.67607,0.64933,0.28571,0.20361,0.08095,2.39951,3.57739,3.46796,0.00122141,0.00122141,0.00122141
29,12.7647,2.71493,3.02502,3.69596,0.64933,0.28571,0.20361,0.08095,2.39951,3.57739,3.46796,0.00120491,0.00120491,0.00120491
30,13.1754,2.53967,3.0105,3.63366,0.64933,0.28571,0.20361,0.08095,2.39951,3.57739,3.46796,0.0011884,0.0011884,0.0011884
31,13.588,2.99182,3.04178,3.55237,0.93574,0.14286,0.18253,0.06422,2.19311,2.95168,3.46936,0.0011719,0.0011719,0.0011719
32,14.0034,2.69195,2.98755,3.63309,0.93574,0.14286,0.18253,0.06422,2.19311,2.95168,3.46936,0.0011554,0.0011554,0.0011554
33,14.4233,2.71108,2.9091,3.5617,0.77351,0.14286,0.19541,0.08415,2.06554,2.85714,3.46061,0.00113889,0.00113889,0.00113889
34,14.8474,2.74614,2.87078,3.45594,0.77351,0.14286,0.19541,0.08415,2.06554,2.85714,3.46061,0.00112239,0.00112239,0.00112239
35,15.2729,2.80615,2.88573,3.51429,0.77351,0.14286,0.19541,0.08415,2.06554,2.85714,3.46061,0.00110589,0.00110589,0.00110589
36,15.7073,2.60898,2.92354,3.49259,0.69716,0.14286,0.1653,0.09166,2.10801,2.87523,3.44567,0.00108938,0.00108938,0.00108938
37,16.1374,2.67873,2.87923,3.58939,0.69716,0.14286,0.1653,0.09166,2.10801,2.87523,3.44567,0.00107288,0.00107288,0.00107288
38,16.5696,2.92436,2.985,3.46562,0.69716,0.14286,0.1653,0.09166,2.10801,2.87523,3.44567,0.00105638,0.00105638,0.00105638
39,17.0166,2.61543,3.02954,3.47772,0.63315,0.21429,0.09642,0.04961,2.12159,3.77271,3.55966,0.00103987,0.00103987,0.00103987
40,17.4343,2.62962,2.6813,3.43373,0.63315,0.21429,0.09642,0.04961,2.12159,3.77271,3.55966,0.00102337,0.00102337,0.00102337
41,17.8547,2.64053,2.99303,3.56059,0.71203,0.07143,0.13198,0.06616,2.39116,3.33017,3.65401,0.00100687,0.00100687,0.00100687
42,18.2738,2.64858,3.0448,3.32926,0.71203,0.07143,0.13198,0.06616,2.39116,3.33017,3.65401,0.000990365,0.000990365,0.000990365
43,18.6827,2.67295,2.72206,3.37837,0.71203,0.07143,0.13198,0.06616,2.39116,3.33017,3.65401,0.000973861,0.000973861,0.000973861
44,19.1058,2.98079,2.7891,3.41956,0.70292,0.21429,0.31759,0.14954,2.01725,3.01424,3.01815,0.000957358,0.000957358,0.000957358
45,19.5307,2.78965,2.81169,3.39322,0.70292,0.21429,0.31759,0.14954,2.01725,3.01424,3.01815,0.000940855,0.000940855,0.000940855
46,19.959,2.68912,2.68381,3.31447,0.70292,0.21429,0.31759,0.14954,2.01725,3.01424,3.01815,0.000924352,0.000924352,0.000924352
47,20.3997,2.72622,2.86379,3.35838,0.61576,0.42857,0.61449,0.20267,2.16205,9.89788,2.94906,0.000907848,0.000907848,0.000907848
48,20.8277,2.45385,2.66577,3.11415,0.61576,0.42857,0.61449,0.20267,2.16205,9.89788,2.94906,0.000891345,0.000891345,0.000891345
49,21.2693,2.56094,2.81734,3.30262,0.6144,0.42857,0.28771,0.10792,2.12777,11.9018,2.8638,0.000874842,0.000874842,0.000874842
50,21.6854,2.61413,2.92065,3.27856,0.6144,0.42857,0.28771,0.10792,2.12777,11.9018,2.8638,0.000858338,0.000858338,0.000858338
51,22.0947,2.48249,2.77056,3.24129,0.6144,0.42857,0.28771,0.10792,2.12777,11.9018,2.8638,0.000841835,0.000841835,0.000841835
52,22.5172,2.66554,2.7522,3.25075,0.62635,0.35714,0.1872,0.0876,1.9535,6.58821,2.75745,0.000825332,0.000825332,0.000825332
53,22.9261,2.59498,2.62101,3.1368,0.62635,0.35714,0.1872,0.0876,1.9535,6.58821,2.75745,0.000808828,0.000808828,0.000808828
54,23.3266,2.54467,2.74845,3.27373,0.62635,0.35714,0.1872,0.0876,1.9535,6.58821,2.75745,0.000792325,0.000792325,0.000792325
55,23.7475,2.64956,2.67321,3.20003,0.59917,0.35714,0.1828,0.07713,1.95896,5.28533,2.83622,0.000775822,0.000775822,0.000775822
56,24.1579,2.59565,2.83728,3.154,0.59917,0.35714,0.1828,0.07713,1.95896,5.28533,2.83622,0.000759318,0.000759318,0.000759318
57,24.5848,2.67137,2.54745,3.0969,0.70309,0.35714,0.24841,0.13885,1.91296,4.1109,2.77351,0.000742815,0.000742815,0.000742815
58,24.994,2.63405,2.62844,3.30677,0.70309,0.35714,0.24841,0.13885,1.91296,4.1109,2.77351,0.000726312,0.000726312,0.000726312
59,25.4174,2.58209,2.68338,3.28331,0.70309,0.35714,0.24841,0.13885,1.91296,4.1109,2.77351,0.000709809,0.000709809,0.000709809
60,25.8407,2.70759,2.66255,3.3587,0.79809,0.21429,0.28656,0.14431,2.17813,4.00043,2.85823,0.000693305,0.000693305,0.000693305
61,26.2559,2.38734,2.735,3.18733,0.79809,0.21429,0.28656,0.14431,2.17813,4.00043,2.85823,0.000676802,0.000676802,0.000676802
62,26.6668,2.44451,2.67526,3.27237,0.79809,0.21429,0.28656,0.14431,2.17813,4.00043,2.85823,0.000660299,0.000660299,0.000660299
63,27.1011,2.49908,2.62429,3.12671,0.75644,0.28571,0.26188,0.07067,2.41023,4.63652,2.99903,0.000643795,0.000643795,0.000643795
64,27.5218,2.43388,2.60681,3.13401,0.75644,0.28571,0.26188,0.07067,2.41023,4.63652,2.99903,0.000627292,0.000627292,0.000627292
65,27.9617,2.62064,2.53877,3.11141,0.92348,0.14286,0.25879,0.10639,2.24443,4.10897,2.89474,0.000610789,0.000610789,0.000610789
66,28.3732,2.76701,2.58971,3.20857,0.92348,0.14286,0.25879,0.10639,2.24443,4.10897,2.89474,0.000594286,0.000594286,0.000594286
67,28.7811,2.60807,2.66526,3.31003,0.92348,0.14286,0.25879,0.10639,2.24443,4.10897,2.89474,0.000577782,0.000577782,0.000577782
68,29.2019,2.56727,2.58548,3.26235,1,0.13972,0.29718,0.17624,1.98947,2.82311,2.7778,0.000561279,0.000561279,0.000561279
69,29.6146,2.66479,2.71077,3.20727,1,0.13972,0.29718,0.17624,1.98947,2.82311,2.7778,0.000544776,0.000544776,0.000544776
70,30.0287,2.4427,2.42323,3.1253,1,0.13972,0.29718,0.17624,1.98947,2.82311,2.7778,0.000528272,0.000528272,0.000528272
71,30.4509,2.5182,2.7167,3.19974,0.85069,0.21429,0.3383,0.19038,1.91623,2.45404,2.72023,0.000511769,0.000511769,0.000511769
72,30.8671,2.32844,2.71863,3.12845,0.85069,0.21429,0.3383,0.19038,1.91623,2.45404,2.72023,0.000495266,0.000495266,0.000495266
73,31.2973,2.35363,2.56836,3.02546,1,0.2784,0.40046,0.24462,1.7982,2.37246,2.65003,0.000478762,0.000478762,0.000478762
74,31.7319,2.54669,2.47192,3.19816,1,0.2784,0.40046,0.24462,1.7982,2.37246,2.65003,0.000462259,0.000462259,0.000462259
75,32.1648,2.51641,2.48765,3.15549,1,0.2784,0.40046,0.24462,1.7982,2.37246,2.65003,0.000445756,0.000445756,0.000445756
76,32.6171,2.37674,2.49006,3.04603,0.98729,0.28571,0.41381,0.27051,1.69246,2.48312,2.59172,0.000429253,0.000429253,0.000429253
77,33.0525,2.31528,2.50202,3.09107,0.98729,0.28571,0.41381,0.27051,1.69246,2.48312,2.59172,0.000412749,0.000412749,0.000412749
78,33.4841,2.39659,2.55187,3.13519,0.98729,0.28571,0.41381,0.27051,1.69246,2.48312,2.59172,0.000396246,0.000396246,0.000396246
79,33.9236,2.53258,2.66848,3.05021,0.91894,0.21429,0.4568,0.30661,1.66609,2.57473,2.57572,0.000379743,0.000379743,0.000379743
80,34.353,2.60568,2.45514,3.17946,0.91894,0.21429,0.4568,0.30661,1.66609,2.57473,2.57572,0.000363239,0.000363239,0.000363239
81,34.7964,2.40596,2.50425,3.02186,0.78685,0.5,0.51314,0.3401,1.67124,2.43176,2.56419,0.000346736,0.000346736,0.000346736
82,35.2272,2.49059,2.30752,3.0861,0.78685,0.5,0.51314,0.3401,1.67124,2.43176,2.56419,0.000330233,0.000330233,0.000330233
83,35.6583,2.51718,2.46395,3.07195,0.78685,0.5,0.51314,0.3401,1.67124,2.43176,2.56419,0.000313729,0.000313729,0.000313729
84,36.1073,2.30402,2.43701,3.04457,0.84584,0.5,0.4759,0.31603,1.72734,2.20359,2.58239,0.000297226,0.000297226,0.000297226
85,36.5224,2.39721,2.28866,2.94955,0.84584,0.5,0.4759,0.31603,1.72734,2.20359,2.58239,0.000280723,0.000280723,0.000280723
86,36.9377,2.33795,2.23651,2.95589,0.84584,0.5,0.4759,0.31603,1.72734,2.20359,2.58239,0.00026422,0.00026422,0.00026422
87,37.3732,2.28554,2.3346,3.02721,0.82164,0.42857,0.47314,0.34947,1.80176,2.11809,2.59964,0.000247716,0.000247716,0.000247716
88,37.8117,2.32855,2.43551,3.14818,0.82164,0.42857,0.47314,0.34947,1.80176,2.11809,2.59964,0.000231213,0.000231213,0.000231213
89,38.2653,2.24442,2.30802,2.91744,0.8767,0.43731,0.50224,0.35318,1.82678,2.07439,2.60057,0.00021471,0.00021471,0.00021471
90,38.7119,2.55553,2.44812,3.08944,0.8767,0.43731,0.50224,0.35318,1.82678,2.07439,2.60057,0.000198206,0.000198206,0.000198206
91,39.482,1.88047,3.34391,2.96432,0.8767,0.43731,0.50224,0.35318,1.82678,2.07439,2.60057,0.000181703,0.000181703,0.000181703
92,39.937,1.80035,3.20963,2.68464,1,0.46887,0.5608,0.40546,1.7632,2.09651,2.57401,0.0001652,0.0001652,0.0001652
93,40.3619,1.8338,3.38117,2.89758,1,0.46887,0.5608,0.40546,1.7632,2.09651,2.57401,0.000148696,0.000148696,0.000148696
94,40.7919,1.9271,3.12036,2.81751,1,0.46887,0.5608,0.40546,1.7632,2.09651,2.57401,0.000132193,0.000132193,0.000132193
95,41.2352,1.8729,3.0306,2.86104,1,0.47716,0.62259,0.40519,1.72963,2.09966,2.55411,0.00011569,0.00011569,0.00011569
96,41.6641,1.70881,2.9256,2.74035,1,0.47716,0.62259,0.40519,1.72963,2.09966,2.55411,9.91865e-05,9.91865e-05,9.91865e-05
97,42.0949,1.73797,2.94501,2.65392,1,0.48602,0.58139,0.40986,1.71105,2.1451,2.54773,8.26832e-05,8.26832e-05,8.26832e-05
98,42.5081,1.68077,3.01035,2.76206,1,0.48602,0.58139,0.40986,1.71105,2.1451,2.54773,6.61799e-05,6.61799e-05,6.61799e-05
99,42.9344,1.7775,2.97374,2.69522,1,0.48602,0.58139,0.40986,1.71105,2.1451,2.54773,4.96766e-05,4.96766e-05,4.96766e-05
100,43.3726,1.83373,3.04292,2.68866,0.93187,0.45496,0.73765,0.47489,1.71097,2.15222,2.56815,3.31733e-05,3.31733e-05,3.31733e-05
